year_month,fuel_type,unit_price_type,unit_price,unit,row_number
2026-02,무연탄,열량단가,45628.57,원/GCAL,14
2026-02,원자력,열량단가,2539.85,원/GCAL,13
2026-02,유류,열량단가,166079.96,원/GCAL,12
2026-02,유연탄,열량단가,53104.54,원/GCAL,11
2026-03,LNG,열량단가,112232.02,원/GCAL,10
2026-03,무연탄,열량단가,45628.57,원/GCAL,9
2026-03,원자력,열량단가,2539.85,원/GCAL,8
2026-03,유류,열량단가,166079.96,원/GCAL,7
2026-03,유연탄,열량단가,53104.54,원/GCAL,6
2026-04,LNG,열량단가,112232.02,원/GCAL,5
2026-04,무연탄,열량단가,45628.57,원/GCAL,4
2026-04,원자력,열량단가,2539.85,원/GCAL,3
2026-04,유류,열량단가,166079.96,원/GCAL,2
2026-04,유연탄,열량단가,53104.54,원/GCAL,1
