row_number,market_area,company_name,generator_name,dispatch_type,generation_source,generation_form,fuel_type,capacity_mw
11700,수도권,푸른하늘태양광발전소(주),늘푸른하늘태양광1호,비중앙,신재생에너지,태양광,태양광,0.894
11701,비수도권,부산정관에너지(발전),태양천안태양광,비중앙,신재생에너지,태양광,태양광,0.994
11702,제주,주식회사 제이씨지디씨,제이씨지에너지3호태양광,비중앙,신재생에너지,태양광,태양광,0.198
11703,제주,주식회사 제이씨지디씨,제이씨지에너지2호태양광,비중앙,신재생에너지,태양광,태양광,0.192
11704,제주,주식회사 제이씨지디씨,제이씨지에너지1호태양광,비중앙,신재생에너지,태양광,태양광,0.38
11705,비수도권,주식회사 성광드림,성광대독발전기,비중앙,신재생에너지,태양광,태양광,0.425
11706,비수도권,제석 태양광발전소 01호,제석태양광발전소01호,비중앙,신재생에너지,태양광,태양광,0.1
11707,제주,창희2호태양광발전소,창희2호태양광,비중앙,신재생에너지,태양광,태양광,0.099
11708,제주,창희1호태양광발전소,창희1호태양광,비중앙,신재생에너지,태양광,태양광,0.099
11709,비수도권,주식회사태광통신,태광대독발전기,비중앙,신재생에너지,태양광,태양광,0.407
11710,비수도권,바우네 태양광발전소,바우네태양광,비중앙,신재생에너지,태양광,태양광,0.099
11711,비수도권,에스케이가스(주),SK가스연료전지,비중앙,신재생에너지,연료전지,연료전지,0.44
11712,제주,억새미발전소,억새미발전소,비중앙,신재생에너지,태양광,태양광,0.051
11713,비수도권,대전그린에너지센터 주식회사,대전환경에너지종합타운발전기,비중앙,화력,기타,폐기물,4.0
11714,수도권,주식회사 솔라팩토리 ,솔라팩토리3태양광,비중앙,신재생에너지,태양광,태양광,1.302
11715,비수도권,서산태양광발전소,서산2태양광,비중앙,신재생에너지,태양광,태양광,0.099
11716,비수도권,성보태양광발전소,성보태양광,비중앙,신재생에너지,태양광,태양광,0.098
11717,비수도권,한국농어촌공사 밀양지사,가산수상태양광,비중앙,신재생에너지,태양광,태양광,2.007
11718,제주,현경태양광발전소,현경태양광,비중앙,신재생에너지,태양광,태양광,0.1
11719,비수도권,주식회사 가온에너지,의성솔라에너지태양광,비중앙,신재생에너지,태양광,태양광,2.0
11720,비수도권,솔라원이호주식회사,연주 태양광발전소,비중앙,신재생에너지,태양광,태양광,1.497
11721,수도권,아리랑태양광발전소 주식회사,아리랑태양광발전소 주식회사,비중앙,신재생에너지,태양광,태양광,1.996
11722,제주,소현에너지2호,소현에너지2호,비중앙,신재생에너지,태양광,태양광,0.422
11723,비수도권,청아태양광발전소,청아태양광,비중앙,신재생에너지,태양광,태양광,0.101
11724,비수도권,(주)에스지이엠,에스지이엠태양광,비중앙,신재생에너지,태양광,태양광,0.137
11725,제주,주식회사 해운광명에너지,해운광명에너지,비중앙,신재생에너지,태양광,태양광,0.407
11726,비수도권,(주)창수발전소,창수발전소,비중앙,신재생에너지,태양광,태양광,0.098
11727,제주,통일 태양광발전소,통일태양광,비중앙,신재생에너지,태양광,태양광,0.099
11728,비수도권,신생발전소 주식회사,한마음발전2(주)태양광,비중앙,신재생에너지,태양광,태양광,1.989
11729,비수도권,한마음발전1(주),한마음발전1태양광,비중앙,신재생에너지,태양광,태양광,1.996
11730,수도권,한국남동발전(주),영흥#6,중앙,화력,기력,유연탄,870.0
11731,수도권,한국남동발전(주),영흥#5,중앙,화력,기력,유연탄,870.0
11732,수도권,한국남동발전(주),영흥#4,중앙,화력,기력,유연탄,870.0
11733,수도권,한국남동발전(주),영흥#3,중앙,화력,기력,유연탄,870.0
11734,수도권,한국남동발전(주),영흥#2,중앙,화력,기력,유연탄,800.0
11735,수도권,한국남동발전(주),영흥#1,중앙,화력,기력,유연탄,800.0
11736,비수도권,한국동서발전(주),호남#2,중앙,화력,기력,유연탄,250.0
11737,비수도권,한국동서발전(주),호남#1,중앙,화력,기력,유연탄,250.0
11738,비수도권,한국동서발전(주),당진#8,중앙,화력,기력,유연탄,500.0
11739,비수도권,한국동서발전(주),당진#7,중앙,화력,기력,유연탄,500.0
11740,비수도권,한국동서발전(주),당진#6,중앙,화력,기력,유연탄,500.0
11741,비수도권,한국동서발전(주),당진#5,중앙,화력,기력,유연탄,500.0
11742,비수도권,한국동서발전(주),당진#4,중앙,화력,기력,유연탄,500.0
11743,비수도권,한국동서발전(주),당진#3,중앙,화력,기력,유연탄,500.0
11744,비수도권,한국동서발전(주),당진#2,중앙,화력,기력,유연탄,500.0
11745,비수도권,한국동서발전(주),당진#1,중앙,화력,기력,유연탄,500.0
11746,비수도권,한국남동발전(주),삼천포#6,중앙,화력,기력,유연탄,500.0
11747,비수도권,한국남동발전(주),삼천포#5,중앙,화력,기력,유연탄,500.0
11748,비수도권,한국남동발전(주),삼천포#4,중앙,화력,기력,유연탄,560.0
11749,비수도권,한국남동발전(주),삼천포#3,중앙,화력,기력,유연탄,560.0
11750,비수도권,한국남동발전(주),삼천포#2,중앙,화력,기력,유연탄,560.0
11751,비수도권,한국남동발전(주),삼천포#1,중앙,화력,기력,유연탄,560.0
11752,비수도권,한국남부발전(주),하동#8,중앙,화력,기력,유연탄,500.0
11753,비수도권,한국남부발전(주),하동#7,중앙,화력,기력,유연탄,500.0
11754,비수도권,한국남부발전(주),하동#6,중앙,화력,기력,유연탄,500.0
11755,비수도권,한국남부발전(주),하동#5,중앙,화력,기력,유연탄,500.0
11756,비수도권,한국남부발전(주),하동#4,중앙,화력,기력,유연탄,500.0
11757,비수도권,한국남부발전(주),하동#3,중앙,화력,기력,유연탄,500.0
11758,비수도권,한국남부발전(주),하동#2,중앙,화력,기력,유연탄,500.0
11759,비수도권,한국남부발전(주),하동#1,중앙,화력,기력,유연탄,500.0
11760,비수도권,한국서부발전(주),태안#8,중앙,화력,기력,유연탄,500.0
11761,비수도권,한국서부발전(주),태안#7,중앙,화력,기력,유연탄,500.0
11762,비수도권,한국서부발전(주),태안#6,중앙,화력,기력,유연탄,500.0
11763,비수도권,한국서부발전(주),태안#5,중앙,화력,기력,유연탄,500.0
11764,비수도권,한국서부발전(주),태안#4,중앙,화력,기력,유연탄,500.0
11765,비수도권,한국서부발전(주),태안#3,중앙,화력,기력,유연탄,500.0
11766,비수도권,한국서부발전(주),태안#2,중앙,화력,기력,유연탄,500.0
11767,비수도권,한국서부발전(주),태안#1,중앙,화력,기력,유연탄,500.0
11768,비수도권,한국중부발전(주),보령#8,중앙,화력,기력,유연탄,500.0
11769,비수도권,한국중부발전(주),보령#7,중앙,화력,기력,유연탄,500.0
11770,비수도권,한국중부발전(주),보령#6,중앙,화력,기력,유연탄,500.0
11771,비수도권,한국중부발전(주),보령#5,중앙,화력,기력,유연탄,500.0
11772,비수도권,한국중부발전(주),보령#4,중앙,화력,기력,유연탄,500.0
11773,비수도권,한국중부발전(주),보령#3,중앙,화력,기력,유연탄,550.0
11774,비수도권,한국중부발전(주),보령#2,중앙,화력,기력,유연탄,500.0
11775,비수도권,한국중부발전(주),보령#1,중앙,화력,기력,유연탄,500.0
11776,비수도권,강릉에코파워(주),강릉안인2호기,중앙,화력,기력,유연탄,1040.0
11777,비수도권,강릉에코파워(주),강릉안인1호기,중앙,화력,기력,유연탄,1040.0
11778,비수도권,삼척블루파워 주식회사,삼척화력 #2,중앙,화력,기력,유연탄,1050.0
11779,비수도권,삼척블루파워 주식회사,삼척화력 #1,중앙,화력,기력,유연탄,1050.0
11780,비수도권,한국동서발전(주),당진#10,중앙,화력,기력,유연탄,1020.0
11781,비수도권,한국동서발전(주),당진#9,중앙,화력,기력,유연탄,1020.0
11782,비수도권,고성그린파워 주식회사,고성 2호기,중앙,화력,기력,유연탄,1040.0
11783,비수도권,고성그린파워 주식회사,고성 1호기,중앙,화력,기력,유연탄,1040.0
11784,비수도권,김천에너지,김천열병합,비중앙,화력,기력,유연탄,59.0
11785,비수도권,데이원에너지 주식회사,보임열병합발전(주),비중앙,화력,기력,유연탄,48.4
11786,비수도권,부산정관에너지(발전),YES동부울산태양광,비중앙,신재생에너지,태양광,태양광,1.12
11787,비수도권,한국남부발전(주),영월 철도부지 태양광,비중앙,신재생에너지,태양광,태양광,1.191
11788,비수도권,정유원에너지,정유원에너지태양광,비중앙,신재생에너지,태양광,태양광,0.099
11789,비수도권,주식회사 에픽인베스트먼트,에픽인베스트먼트태양광,비중앙,신재생에너지,태양광,태양광,0.27
11790,제주,유수암태양광발전소,유수암태양광,비중앙,신재생에너지,태양광,태양광,0.253
11791,비수도권,우리에너지 주식회사,우리에너지(주)영동공수태양광#1,비중앙,신재생에너지,태양광,태양광,1.499
11792,비수도권,(유)덕암쏠라파크,덕암쏠라파크발전기,비중앙,신재생에너지,태양광,태양광,0.497
11793,비수도권,청솔태양광발전소,청솔태양광발전기,비중앙,신재생에너지,태양광,태양광,0.903
11794,비수도권,오메가태양광발전소,오메가태양광발전기,비중앙,신재생에너지,태양광,태양광,0.999
11795,비수도권,부산정관에너지(발전),승일음성태양광,비중앙,신재생에너지,태양광,태양광,0.886
11796,비수도권,한국농어촌공사 고창지사,고수소수력수차발전기,비중앙,신재생에너지,수력,소수력,0.099
11797,비수도권,보성파워텍(주),보성파워텍1호기,비중앙,신재생에너지,태양광,태양광,0.778
11798,비수도권,정암풍력발전주식회사,정암풍력발전기,비중앙,신재생에너지,풍력,풍력,32.2
