date,iteration,mae,rmse,mean_model,mean_actual
2024-05-16,11,86000.1523954514,88423.3383639084,38087.76427121528,124087.91666666667
2024-05-16,12,86000.1523954514,88423.3383639084,38087.76427121528,124087.91666666667
2024-05-16,13,86000.1523954514,88423.3383639084,38087.76427121528,124087.91666666667
2024-05-16,14,86000.1523954514,88423.3383639084,38087.76427121528,124087.91666666667
2024-05-16,15,86000.1523954514,88423.3383639084,38087.76427121528,124087.91666666667
2024-05-22,1,92725.92213729165,93774.19387613249,36826.99452937499,129552.91666666667
2024-05-22,2,87492.09288409725,88696.75334298692,42060.823782569445,129552.91666666667
2024-05-22,3,87043.13244437186,88268.97652894916,42509.78422229483,129552.91666666667
2024-05-22,4,87043.13244437186,88268.97652894916,42509.78422229483,129552.91666666667
2024-05-22,5,87043.13244437186,88268.97652894916,42509.78422229483,129552.91666666667
2024-05-22,6,87043.13244437186,88268.97652894916,42509.78422229483,129552.91666666667
2024-05-22,7,87043.13244437186,88268.97652894916,42509.78422229483,129552.91666666667
2024-05-22,8,87043.13244437186,88268.97652894916,42509.78422229483,129552.91666666667
2024-05-22,9,87043.13244437186,88268.97652894916,42509.78422229483,129552.91666666667
2024-05-22,10,87043.13244437186,88268.97652894916,42509.78422229483,129552.91666666667
2024-05-22,11,87043.13244437186,88268.97652894916,42509.78422229483,129552.91666666667
2024-05-22,12,87043.13244437186,88268.97652894916,42509.78422229483,129552.91666666667
2024-05-22,13,87043.13244437186,88268.97652894916,42509.78422229483,129552.91666666667
2024-05-22,14,87043.13244437186,88268.97652894916,42509.78422229483,129552.91666666667
2024-05-22,15,87043.13244437186,88268.97652894916,42509.78422229483,129552.91666666667
2024-06-16,1,80391.10054645833,81941.27613279672,31787.232786875004,112178.33333333333
2024-06-16,2,76757.28795538197,78444.08032868397,35421.0453779514,112178.33333333333
2024-06-16,3,76719.04378434028,78409.72417581626,35459.28954899306,112178.33333333333
2024-06-16,4,76719.04378434028,78409.72417581626,35459.28954899306,112178.33333333333
2024-06-16,5,76719.04378434028,78409.72417581626,35459.28954899306,112178.33333333333
2024-06-16,6,76719.04378434028,78409.72417581626,35459.28954899306,112178.33333333333
2024-06-16,7,76719.04378434028,78409.72417581626,35459.28954899306,112178.33333333333
2024-06-16,8,76719.04378434028,78409.72417581626,35459.28954899306,112178.33333333333
2024-06-16,9,76719.04378434028,78409.72417581626,35459.28954899306,112178.33333333333
2024-06-16,10,76719.04378434028,78409.72417581626,35459.28954899306,112178.33333333333
2024-06-16,11,76719.04378434028,78409.72417581626,35459.28954899306,112178.33333333333
2024-06-16,12,76719.04378434028,78409.72417581626,35459.28954899306,112178.33333333333
2024-06-16,13,76719.04378434028,78409.72417581626,35459.28954899306,112178.33333333333
2024-06-16,14,76719.04378434028,78409.72417581626,35459.28954899306,112178.33333333333
2024-06-16,15,76719.04378434028,78409.72417581626,35459.28954899306,112178.33333333333
2024-06-21,1,85268.29446112497,86517.8952740239,46374.62220554167,131642.91666666666
2024-06-21,2,76834.43814619446,78060.2411685096,54808.478520472214,131642.91666666666
2024-06-21,3,75494.66555832325,76656.9766314325,56148.25110834343,131642.91666666666
2024-06-21,4,75494.66555832325,76656.9766314325,56148.25110834343,131642.91666666666
2024-06-21,5,75494.66555832325,76656.9766314325,56148.25110834343,131642.91666666666
2024-06-21,6,75494.66555832325,76656.9766314325,56148.25110834343,131642.91666666666
2024-06-21,7,75494.66555832325,76656.9766314325,56148.25110834343,131642.91666666666
2024-06-21,8,75494.66555832325,76656.9766314325,56148.25110834343,131642.91666666666
2024-06-21,9,75494.66555832325,76656.9766314325,56148.25110834343,131642.91666666666
2024-06-21,10,75494.66555832325,76656.9766314325,56148.25110834343,131642.91666666666
2024-06-21,11,75494.66555832325,76656.9766314325,56148.25110834343,131642.91666666666
2024-06-21,12,75494.66555832325,76656.9766314325,56148.25110834343,131642.91666666666
